LOGISTICAL_AREA,YEAR,MONTH,AREA,METHOD,ITEM,ADIPOSE_MODIFIER,DISPOSITION,RETAINABLE,ITEM_GROUP,ESTIMATE,VARIANCE
Nanaimo,2017,1,Area 17,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,86.97,7476.87
Nanaimo,2017,1,Area 17,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,260.91,67291.79
Nanaimo,2017,1,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,86.97,7476.87
Nanaimo,2017,1,Area 18,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,133.37,9444.23
Nanaimo,2017,1,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,23.2,491.84
Nanaimo,2017,1,Area 18,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,289.94,42203.46
Nanaimo,2017,1,Area 18,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,46.4,1967.36
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1299.97,332429.43
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,1080.03,351078.64
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,706.85,127944.17
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,452.64,96105.25
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1551.28,500252.35
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,41.4,1631.16
Victoria,2017,1,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,124.2,14680.44
Victoria,2017,1,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,624.9,154837.27
Victoria,2017,1,Area 20,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,434.85,186921.64
Victoria,2017,1,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,86.97,7476.87
Victoria,2017,1,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,86.97,7476.87
Victoria,2017,1,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1402.63,736038.92
Victoria,2017,1,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,4261.55,17951953.93
Tofino,2017,1,Area 24,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,20.7,407.79
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,193.54,9967.8
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,164,12549.68
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,23.77,258.82
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,67.1,2375.15
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,455.55,187329.43
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,62.1,1953.1
Vancouver,2017,1,Area 28,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,62.1,3670.11
Vancouver,2017,1,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,86.97,7476.87
Vancouver,2017,1,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,347.88,119629.85
Vancouver,2017,1,Area 29 (Marine),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,215.34,31538.62
Prince Rupert,2017,1,Area 4,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,347.88,119629.85
Prince Rupert,2017,1,Area 4,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,173.94,29907.46
Tofino,2017,2,Area 124,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Tofino,2017,2,Area 124,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Campbell River,2017,2,Area 13,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Campbell River,2017,2,Area 13,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,628.8,135486.38
Campbell River,2017,2,Area 13,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Campbell River,2017,2,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,89.83,7979.36
Sunshine Coast,2017,2,Area 15,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Sunshine Coast,2017,2,Area 15,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,718.63,271145.67
Nanaimo,2017,2,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,179.66,31917.44
Nanaimo,2017,2,Area 18,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,232.53,23512.82
Nanaimo,2017,2,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,62.22,3809.08
Nanaimo,2017,2,Area 18,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,89.83,7979.36
Nanaimo,2017,2,Area 18,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1431.05,2015003.99
Nanaimo,2017,2,Area 18,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,62.22,3809.08
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,727.76,95562.15
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,197.92,32214.58
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,289.47,27875.43
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,317.27,42064.36
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1121.51,390689.13
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,71.39,2708.23
Victoria,2017,2,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,227.16,18109.8
Victoria,2017,2,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,197.92,32214.58
Victoria,2017,2,Area 20,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,359.31,127669.76
Victoria,2017,2,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.57,4213.74
Victoria,2017,2,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,428.87,66198.28
Victoria,2017,2,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,227.44,18136.45
Victoria,2017,2,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,89.83,7979.36
Winter Harbour,2017,2,Area 27,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Winter Harbour,2017,2,Area 27,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,89.83,7979.36
Winter Harbour,2017,2,Area 27,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,89.83,7979.36
Winter Harbour,2017,2,Area 27,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,89.83,7979.36
Vancouver,2017,2,Area 28,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Vancouver,2017,2,Area 28,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,449.14,199484
Vancouver,2017,2,Area 28,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,898.29,462589.28
Vancouver,2017,2,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1167.77,358440.58
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,179.66,31917.44
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,269.49,39876.46
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,449.14,71732.87
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,3429.8,5071910.85
Vancouver,2017,2,Area 29 (Marine),Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,89.83,7979.36
Haida Gwaii,2017,3,Area 1,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,20.97,418.61
Port Hardy,2017,3,Area 12,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.3,8987.19
Port Hardy,2017,3,Area 12,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,285.91,80884.68
Campbell River,2017,3,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,60.02,3542.92
Sunshine Coast,2017,3,Area 15,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.3,8987.19
Sunshine Coast,2017,3,Area 15,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.3,8987.19
Sunshine Coast,2017,3,Area 15,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,381.21,143794.98
Sunshine Coast,2017,3,Area 16,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.3,8987.19
Sunshine Coast,2017,3,Area 16,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,285.91,80884.68
Nanaimo,2017,3,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,95.3,8987.19
Nanaimo,2017,3,Area 18,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,123.93,9342.85
Nanaimo,2017,3,Area 18,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,14.31,190.54
Nanaimo,2017,3,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,68.36,3604.03
Nanaimo,2017,3,Area 18,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,880.27,268280.86
Nanaimo,2017,3,Area 18,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,180.07,31886.3
Victoria,2017,3,Area 19 (GS),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,120.05,7074.23
Victoria,2017,3,Area 19 (GS),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,41.93,1674.45
Victoria,2017,3,Area 19 (GS),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,275.38,40873.48
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,160.38,8572.15
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,140.11,15260.54
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,163.25,10413.44
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,77.21,3958.04
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,95.3,8987.19
Victoria,2017,3,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,20.97,418.61
Victoria,2017,3,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,116.27,9405.8
Victoria,2017,3,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,20.97,418.61
Victoria,2017,3,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,95.3,8987.19
Victoria,2017,3,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,41.93,1674.45
Victoria,2017,3,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,23.45,526.66
Port Alberni,2017,3,Area 23 (Alberni Canal),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,95.3,8987.19
Port Alberni,2017,3,Area 23 (Alberni Canal),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,95.3,8987.19
Port Alberni,2017,3,Area 23 (Alberni Canal),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,190.6,35948.75
Port Alberni,2017,3,Area 23 (Alberni Canal),Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,285.91,80884.68
Barkley,2017,3,Area 23 (Barkley),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,501.26,157966.67
Barkley,2017,3,Area 23 (Barkley),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,691.86,337710.4
Barkley,2017,3,Area 23 (Barkley),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,571.81,107700.69
Barkley,2017,3,Area 23 (Barkley),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,953.02,898718.63
Barkley,2017,3,Area 23 (Barkley),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4097.99,5573595.84
Tofino,2017,3,Area 24,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,41.93,1674.45
Vancouver,2017,3,Area 28,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,553.63,80209.64
Vancouver,2017,3,Area 28,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,60.02,3542.92
Vancouver,2017,3,Area 28,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,215.35,16061.41
Vancouver,2017,3,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1989.81,1103104.85
Vancouver,2017,3,Area 28,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,141.02,14590.3
Vancouver,2017,3,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,190.6,35948.75
Vancouver,2017,3,Area 29 (Marine),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,1238.93,1518834.49
Prince Rupert,2017,3,Area 4,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,190.6,35948.75
Central Coast,2017,3,Area 5,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,41.93,1674.45
Central Coast,2017,3,Area 5,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,20.97,418.61
Haida Gwaii,2017,4,Area 1,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,31.17,940.39
Haida Gwaii,2017,4,Area 1,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,62.34,3761.55
Port Hardy,2017,4,Area 11,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,62.34,3761.55
Port Hardy,2017,4,Area 12,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,232.86,51893.88
Port Hardy,2017,4,Area 12,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,16.68,261.68
Barkley,2017,4,Area 123,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,31.17,940.39
Barkley,2017,4,Area 123,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,187.02,33853.94
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,62.34,3761.55
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,62.34,3761.55
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,189.22,17025.82
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,484.23,140308.35
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,490.83,46433.4
Campbell River,2017,4,Area 13,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,16.68,261.68
Campbell River,2017,4,Area 14,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,265.46,9512.4
Campbell River,2017,4,Area 14,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,22.54,485.46
Campbell River,2017,4,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,693.21,58670.24
Campbell River,2017,4,Area 14,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,62.34,3761.55
Sunshine Coast,2017,4,Area 15,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,31.17,940.39
Sunshine Coast,2017,4,Area 15,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,31.17,940.39
Sunshine Coast,2017,4,Area 15,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,147.22,9883.72
Sunshine Coast,2017,4,Area 15,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,62.34,3761.55
Sunshine Coast,2017,4,Area 15,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,31.17,940.39
Sunshine Coast,2017,4,Area 16,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,14.25,188.81
Sunshine Coast,2017,4,Area 16,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,14.25,188.81
Sunshine Coast,2017,4,Area 16,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,271.9,30547.94
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,621.63,39627.84
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,647.86,87116.09
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2017.94,267488.97
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1109.91,260000.4
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,3387.24,1411804.27
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,455.56,43086.99
Nanaimo,2017,4,Area 17,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,1091.43,269794.88
Nanaimo,2017,4,Area 18,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,31.17,940.39
Nanaimo,2017,4,Area 18,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,25.18,608.87
Nanaimo,2017,4,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,85.63,4280.49
Nanaimo,2017,4,Area 18,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,498.72,112719.35
Nanaimo,2017,4,Area 18,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,438.86,56852.64
Victoria,2017,4,Area 19 (GS),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,25.18,608.87
Victoria,2017,4,Area 19 (GS),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,75.54,5479.82
Victoria,2017,4,Area 19 (GS),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,25.18,608.87
Victoria,2017,4,Area 19 (GS),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,62.34,1878.91
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,510.37,25247.61
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,448.8,38158.06
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,390.67,17641.26
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,147.5,4040.03
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,470.29,55607.61
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,76.25,2882.22
Victoria,2017,4,Area 19 (JDF),Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,67.62,4369.13
Victoria,2017,4,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,407.27,30423.88
Victoria,2017,4,Area 20,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,116.05,3301.01
Victoria,2017,4,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,141.23,3909.88
Victoria,2017,4,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,93.51,2815.55
Victoria,2017,4,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,121.33,5788.5
Victoria,2017,4,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,76.25,2882.22
Victoria,2017,4,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,93.51,8463.49
Port Renfrew,2017,4,Area 21,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,93.51,4698.2
Port Renfrew,2017,4,Area 21,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,62.34,3761.55
Port Renfrew,2017,4,Area 21,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,31.17,940.39
Port Alberni,2017,4,Area 23 (Alberni Canal),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,22.54,485.46
Port Alberni,2017,4,Area 23 (Alberni Canal),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,67.62,4369.13
Port Alberni,2017,4,Area 23 (Alberni Canal),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,45.08,1941.84
Port Alberni,2017,4,Area 23 (Alberni Canal),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,90.16,7767.34
Barkley,2017,4,Area 23 (Barkley),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,135.24,6682.48
Barkley,2017,4,Area 23 (Barkley),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,137.87,12745.34
Barkley,2017,4,Area 23 (Barkley),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,161.13,9067.33
Barkley,2017,4,Area 23 (Barkley),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,129.96,8130.68
Barkley,2017,4,Area 23 (Barkley),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,280.53,38518.49
Tofino,2017,4,Area 24,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,25.18,608.87
Tofino,2017,4,Area 24,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,50.36,2435.47
Tofino,2017,4,Area 24,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,25.18,608.87
Winter Harbour,2017,4,Area 27,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,112.7,6197.02
Winter Harbour,2017,4,Area 27,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,62.34,3761.55
Winter Harbour,2017,4,Area 27,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,16.68,261.68
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,206.21,13411.26
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,251.8,29936.04
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,124.68,9398.26
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,691.01,143247.38
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,93.51,4698.2
Vancouver,2017,4,Area 28,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,31.17,940.39
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,415.46,11977.14
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,147.22,6118.43
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,843.43,49114.04
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,545.42,42910.75
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2180.5,314307.18
Vancouver,2017,4,Area 29 (Marine),Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,132.6,4429.61
